addr,value
addr:city,Москва
addr:country,RU
addr:housenumber,69
addr:street,Фестивальная улица
addr:housenumber,64А с2
addr:postcode,123007
addr:street,Хорошёвское шоссе
addr:housenumber,5 с1
addr:postcode,119501
addr:street,Нежинская улица
addr:place,Кремль
addr:postcode,103073
addr:housenumber,12
addr:street,Новгородская улица
addr:housename,Корпус Г
addr:housenumber,78с1
addr:street,проспект Вернадского
addr:housenumber,19
addr:street,улица Прянишникова
addr:housenumber,73
addr:street,Волоколамское шоссе
addr:housenumber,21 к2
addr:street,улица Маршала Катукова
addr:housenumber,14 к5
addr:postcode,123458
addr:street,Строгинский бульвар
addr:housenumber,59А с2А
addr:street,Бескудниковский бульвар
addr:housenumber,60А
addr:postcode,127474
addr:street,Дмитровское шоссе
addr:housenumber,17 к2
addr:street,улица Кулакова
addr:housenumber,24А
addr:street,Севастопольский проспект
addr:housenumber,87 к1
addr:street,улица Удальцова
addr:housenumber,15
addr:street,Шенкурский проезд
addr:housenumber,37 к1
addr:street,Ленинградский проспект
addr:housenumber,12 к3
addr:postcode,127253
addr:street,Псковская улица
addr:housenumber,26А
addr:postcode,127560
addr:street,улица Плещеева
addr:housenumber,4А
addr:street,улица Конёнкова
addr:housenumber,25А
addr:street,улица Лескова
addr:housenumber,17 к1
addr:street,Шипиловская улица
addr:housenumber,5
addr:street,Романов переулок
addr:housenumber,7/5 с3
addr:housenumber2,5/7 с3
addr:street,улица Большая Дмитровка
addr:street2,Камергерский переулок
addr:housenumber,13
addr:postcode,125009
addr:street,Тверская улица
addr:housenumber,2
addr:street,Театральный проезд
addr:street,Цветной бульвар
addr:street,Мерзляковский переулок
addr:housenumber,2 к2
addr:street,улица Твардовского
addr:housenumber,81
addr:housenumber,11
addr:postcode,109559
addr:street,Белореченская улица
addr:housenumber,20А
addr:postcode,117535
addr:street,Дорожная улица
addr:housenumber,21
addr:postcode,117519
addr:street,Кировоградская улица
addr:housenumber,35Г
addr:street,улица Яблочкова
addr:housenumber,1
addr:street,улица Островитянова
addr:housenumber,101 к6
addr:postcode,119526
addr:housenumber,3 к1
addr:housenumber,58
addr:street,Кантемировская улица
addr:housenumber,7 к4
addr:street,Клязьминская улица
addr:housenumber,61
addr:street,Профсоюзная улица
addr:housenumber,61 к1
addr:housenumber,35
addr:street,Мосфильмовская улица
addr:housenumber,85
addr:postcode,119607
addr:postcode,127549
addr:street,Бибиревская улица
addr:housenumber,126А
addr:postcode,117587
addr:street,Варшавское шоссе
addr:street,улица Ивана Франко
addr:housenumber,16
addr:street,Большая Бронная улица
addr:housenumber,8 к1
addr:postcode,115569
addr:street,улица Маршала Захарова
addr:housenumber,3 к3
addr:postcode,127562
addr:street,улица Санникова
addr:housenumber,15/1 с1
addr:street,Моховая улица
addr:housenumber,7
addr:housenumber,к809
addr:place,микрорайон Северное Чертаново
addr:postcode,117648
addr:housenumber,к810
addr:housenumber,78 с2
addr:housenumber,78 с3
addr:housenumber,78 с6
addr:region,Москва
addr:street,улица Академика Глушко
addr:housenumber,1 к1
addr:postcode,117628
addr:street,Феодосийская улица
addr:housenumber,49
addr:street,Ярославское шоссе
addr:housenumber,94
addr:street,Алтуфьевское шоссе
addr:full,"Капотня 5-й квартал, 28"
addr:housenumber,28
addr:place,5-й квартал Капотня
addr:quarter,5-й квартал Капотня
addr:housenumber,3
addr:street,улица Академика Скрябина
addr:housenumber,25
addr:street,Садовая-Кудринская улица
addr:housenumber,169 к2
addr:postcode,109378
addr:street,Волгоградский проспект
addr:housenumber,9 с9
addr:street,улица Образцова
addr:street,Театральная площадь
addr:street,Страстной бульвар
addr:housenumber,18/1
addr:street,Олимпийский проспект
addr:housenumber,43 к2
addr:postcode,125373
addr:street,бульвар Яна Райниса
addr:housenumber,35 к2
addr:street,улица Юных Ленинцев
addr:housenumber,1 с20А
addr:postcode,123098
addr:street,площадь Академика Курчатова
addr:housenumber,21А
addr:street,улица Миклухо-Маклая
addr:housenumber,12 к1
addr:street,улица Академика Волгина
addr:housenumber,100
addr:housenumber,76
addr:housenumber,170Г
addr:housenumber,156Б
addr:postcode,117405
addr:housenumber,110 с62
addr:housenumber,4Д
addr:street,Шоссейная улица
addr:postcode,105568
addr:street,улица Чечулина
addr:housenumber,17 с1
addr:street,Большая Пироговская улица
addr:housenumber,24 с9
addr:postcode,119048
addr:street,улица Лужники
addr:housenumber,8 с2
addr:street,Трубецкая улица
addr:housenumber,22
addr:street,Леонтьевский переулок
addr:street,Тверской бульвар
addr:housenumber,26
addr:street,улица Генерала Белова
addr:housenumber,6 с6
addr:housenumber,2/14
addr:housenumber2,14/2
addr:street,Старая площадь
addr:street2,улица Ильинка
addr:housenumber,4
addr:housenumber,8/5
addr:street,Новорязанская улица
addr:housenumber,43 с1
addr:street,Сосинская улица
addr:housenumber,24
addr:street,Марксистская улица
addr:housenumber,35Б к2
addr:street,Воронцовская улица
addr:housenumber,5/3
addr:street,улица Щипок
addr:street,улица Петровка
addr:housenumber,3 с2
addr:street,улица Кузнецкий Мост
addr:housenumber,19 с1
addr:postcode,101000
addr:street,Армянский переулок
addr:housenumber,33 с1
addr:street,улица Талалихина
addr:street,Лубянский проезд
addr:housenumber,7/8 с1
addr:housenumber2,8/7 с1
addr:street,улица Маросейка
addr:street2,Большой Златоустинский переулок
addr:postcode,121359
addr:street,улица Маршала Тимошенко
addr:housenumber,6
addr:postcode,115563
addr:housenumber,1/2
addr:postcode,125047
addr:street,Лесная улица
addr:housenumber,9/23 с1
addr:postcode,105005
addr:street,2-я Бауманская улица
addr:housenumber,101 к1
addr:street,Андреевская набережная
addr:housenumber,30А
addr:housenumber,132 к1
addr:housenumber,42Б
addr:postcode,117534
addr:housenumber,11 к1
addr:postcode,107497
addr:street,Иркутская улица
addr:housenumber,45 к2
addr:postcode,121614
addr:street,улица Крылатские Холмы
addr:housenumber,45 к1
addr:housenumber,45 с1
addr:housenumber,48 к1
addr:street,Балаклавский проспект
addr:housenumber,35 к1
addr:street,улица Адмирала Лазарева
addr:street,Большой Черкасский переулок
addr:housenumber,15 с1
addr:street,улица Ильинка
addr:housenumber,3А
addr:postcode,117546
addr:street,Востряковский проезд
addr:street,Щукинская улица
addr:housenumber,9
addr:postcode,125040
addr:street,3-я улица Ямского Поля
addr:housenumber,14 с1
addr:street,Бумажный проезд
addr:housenumber,14 с2
addr:housenumber,34 к4
addr:street,Скаковая улица
addr:housenumber,34 к3
addr:housenumber,1/2 с1
addr:street,Пятницкая улица
addr:housenumber,вл112
addr:street,проспект Мира
addr:housenumber,6А
addr:street,Угличская улица
addr:housenumber,77
addr:full,"Капотня 3-й квартал, 29"
addr:housenumber,29
addr:place,3-й квартал Капотня
addr:quarter,3-й квартал Капотня
addr:suburb,Капотня
addr:street,2-я Брестская улица
addr:housenumber,8
addr:street,Мичуринский проспект
addr:housenumber,2/2 с6
addr:housenumber,36/40
addr:street,3-я Тверская-Ямская улица
addr:street,1-я Тверская-Ямская улица
addr:housenumber,5 сБ
addr:housenumber,4 с1
addr:street,улица Бутырский Вал
addr:housenumber,8/3 с1
addr:postcode,105064
addr:street,улица Земляной Вал
addr:housenumber,46
addr:housenumber,36 с1
addr:housenumber,34
addr:housenumber,30
addr:street,улица Александра Невского
addr:housenumber,32
addr:street,4-й Лесной переулок
addr:housenumber,18
addr:housenumber,7 к2
addr:housenumber,11 с1
addr:street,2-й Лесной переулок
addr:housenumber,20
addr:housenumber,12 с2
addr:street,4-я Тверская-Ямская улица
addr:housenumber,5 с19
addr:street,улица Фадеева
addr:housenumber,5 с6
addr:housenumber,16 к3
addr:housenumber,12 с1
addr:housenumber,7 с3
addr:housenumber,16 к1
addr:housenumber,10 с1
addr:street,улица Чаянова
addr:housenumber,10 с2
addr:housenumber,7 с2
addr:housenumber,13/5 с15
addr:housenumber,8/9
addr:housenumber,5А с1
addr:housenumber,7 с1
addr:housenumber,10
addr:housenumber,22 к2
addr:housenumber,16 к2
addr:street,1-й Тверской-Ямской переулок
addr:housenumber,14 с3
addr:housenumber,20 с1
addr:street,Миусская площадь
addr:housenumber,14
addr:housenumber,4 с4
addr:housenumber,4 с3
addr:housenumber,47А
addr:postcode,119361
addr:street,Большая Очаковская улица
addr:housenumber,15 к1
addr:street,улица Раменки
addr:street,площадь Тверская Застава
addr:postcode,121354
addr:street,Можайское шоссе
addr:housenumber,42 к3
addr:street,Матвеевская улица
addr:housenumber,42 к2
addr:housenumber,42 к4
addr:housenumber,8 к2
addr:street,Рябиновая улица
addr:full,"Капотня 5-й квартал, 29"
addr:street,Новоконюшенный переулок
addr:street,Пресненская набережная
addr:street,площадь Савёловского Вокзала
addr:housenumber,48
addr:street,Тимирязевская улица
addr:housenumber,27Б
addr:street,Малая Бронная улица
addr:housenumber,4/5
addr:street,Никольская улица
addr:housenumber,37 с1
addr:housenumber,63 с1
addr:postcode,123056
addr:street,Большая Грузинская улица
addr:street,Васильевская улица
addr:housenumber,62
addr:housenumber,14 к1
addr:postcode,119415
addr:housenumber,10 к1
addr:housenumber,51
addr:postcode,123103
addr:street,улица Маршала Тухачевского
addr:housenumber,9А
addr:street,Краснопрудная улица
addr:housenumber,14А
addr:postcode,117647
addr:street,улица Академика Капицы
addr:housenumber,33 к2
addr:street,улица Вилиса Лациса
addr:housenumber,39 с1А
addr:housenumber,39Б с3
addr:housenumber,39 с4
addr:housenumber,24 с7
addr:housenumber,24 с22
addr:housenumber,24 с12
addr:housenumber,24 с31
addr:housenumber,26 к4
addr:street,Лебедянская улица
addr:housenumber,15 к2
addr:street,Липецкая улица
addr:street,улица Спиридоновка
addr:street,Большой Козихинский переулок
addr:housenumber,8/15
addr:housenumber2,15/8
addr:postcode,123104
addr:street,Богословский переулок
addr:street2,Большая Бронная улица
addr:housenumber,9 к2
addr:postcode,109147
addr:street,Изумрудная улица
addr:street,проспект Маршала Жукова
addr:housenumber,5 к2
addr:postcode,125167
addr:street,улица Серёгина
addr:housenumber,42/2
addr:postcode,121351
addr:street,улица Боженко
addr:housenumber,40 с2
addr:housenumber,40 к1
addr:housenumber,4 к2
addr:postcode,121451
addr:housenumber,8 с1А
addr:street,Большая Спасская улица
addr:housenumber,3 к5
addr:street,улица Демьяна Бедного
addr:street,улица Красная Пресня
addr:street,Волков переулок
addr:housenumber,6/2 с1
addr:housenumber2,2
addr:street2,Волков переулок
addr:housenumber,55
addr:housenumber,43 к1
addr:postcode,129626
addr:street,Красностуденческий проезд
addr:housenumber,12Б
addr:street,Лиственничная аллея
addr:housenumber,7А с26
addr:street,1-я Останкинская улица
addr:housenumber,16А
addr:postcode,111538
addr:street,Вешняковская улица
addr:postcode,119146
addr:street,Комсомольский проспект
addr:housenumber,54 с2
addr:housenumber,58/23
addr:housenumber,52/16 с1
addr:housenumber,33 с5
addr:postcode,127550
addr:housenumber,27 к3
addr:postcode,127238
addr:housenumber,33 к4
addr:housenumber,27 к2
addr:postcode,127434
addr:housenumber,29 к1
addr:postcode,127343
addr:housenumber,16 с1
addr:street,1-я Магистральная улица
addr:street,Ярцевская улица
addr:housenumber,52
addr:housenumber,54
addr:street,Лаврушинский переулок
addr:housenumber,10 с4
addr:postcode,115280
addr:street,Велозаводская улица
addr:housenumber,1А
addr:street,проезд Воскресенские Ворота
addr:housenumber,9 с1
addr:postcode,119019
addr:street,улица Волхонка
addr:housenumber,45/1 с2А
addr:street,Пречистенская набережная
addr:street2,улица Ленивка
addr:housenumber,9 с2
addr:housenumber,3 с3
addr:street,улица Ленивка
addr:housenumber,4/2
addr:housenumber2,2/4
addr:street2,Копьёвский переулок
addr:housenumber,6 с1
addr:housenumber,2 с2
addr:housenumber,4/3
addr:housenumber2,3/4
addr:housenumber,41
addr:postcode,123423
addr:street,улица Народного Ополчения
addr:housenumber,43 к3
addr:street,Лосиноостровская улица
addr:housenumber,101 к3
addr:housenumber,44
addr:street,Ходынский бульвар
addr:housenumber,4 к4
addr:street,улица Гризодубовой
addr:street,улица Куусинена
addr:housenumber,15 к3
addr:housenumber,66
addr:street,проезд Берёзовой Рощи
addr:housenumber,14 к2
addr:street,улица Авиаконструктора Микояна
addr:housenumber,14 к4
addr:housenumber,14 к3
addr:street,Оружейный переулок
addr:street,улица Гашека
addr:housenumber,5/1
addr:housenumber2,1/5
addr:street,Большая Садовая улица
addr:housenumber,7А
addr:street,улица Новый Арбат
addr:housenumber,18/2
addr:housenumber,4 к10
addr:street,Береговая улица
addr:housenumber,31
addr:street,Большая Никитская улица
addr:postcode,121069
addr:street,Столовый переулок
addr:housenumber,46/15
addr:postcode,109125
addr:street,площадь Киевского Вокзала
addr:housenumber,26 с3
addr:street,Каланчёвская улица
addr:housenumber,26 с1
addr:housenumber,26 с2
addr:housenumber,5 с17
addr:street,улица Юности
addr:housenumber,95 с2
addr:street,улица Вавилова
addr:housenumber,1 с31
addr:street,Складочная улица
addr:housenumber,1 с53
addr:housenumber,45
addr:street,Ленинский проспект
addr:housenumber,9 с8
addr:street,Планерная улица
addr:postcode,109117
addr:street,Окская улица
addr:housenumber,5 к1
addr:housenumber,2/3
addr:postcode,127422
addr:postcode,127018
addr:street,Новосущёвский переулок
addr:housenumber,23
addr:street,Ярославская улица
addr:housenumber,24 с32
addr:housenumber,24 с23
addr:housenumber,24 с33
addr:street,Ореховый бульвар
addr:housenumber,19 с7
addr:postcode,115191
addr:street,улица Серпуховский Вал
addr:housenumber,105 к4
addr:housenumber,20 к1
addr:street,Рублёвское шоссе
addr:housenumber,7 к1
addr:postcode,125599
addr:street,улица Бусиновская Горка
addr:housenumber,32 к8
addr:street,Кремлёвская набережная
addr:housenumber,18 к2
addr:postcode,121099
addr:street,Красная площадь
addr:housenumber,1 к2
addr:street,Привольная улица
addr:housenumber,13 к1
addr:housenumber,9 к1
addr:street,Хвалынский бульвар
addr:housenumber,4 к1
addr:street,Пронская улица
addr:housenumber,9 к3
addr:housenumber,1 к3
addr:housenumber,5 к3
addr:postcode,109145
addr:housenumber,2 c1
addr:postcode,123022
addr:street,Ходынская улица
addr:housenumber,165Д к7
addr:postcode,123060
addr:street,улица Маршала Рыбалко
addr:street,Лермонтовский проспект
addr:postcode,125319
addr:postcode,117593
addr:street,Литовский бульвар
addr:street,Моршанская улица
addr:housenumber,18/8
addr:street,Жулебинский бульвар
addr:housenumber,3 к2
addr:housenumber,2 к1
addr:housenumber,27 к1
addr:housenumber,5/8
addr:postcode,109390
addr:street,1-я улица Текстильщиков
addr:housenumber,211 к2
addr:postcode,129226
addr:housenumber,37Б
addr:postcode,125499
addr:street,Кронштадтский бульвар
addr:housenumber,91
addr:street,1-я Брестская улица
addr:housenumber,52/2
addr:housenumber,12/2
addr:postcode,129327
addr:street,улица Чичерина
addr:housenumber,1 с7
addr:street,площадь Донецкой Народной Республики
addr:housenumber,1 с8
addr:housenumber,2А
addr:postcode,123308
addr:street,Карамышевская набережная
addr:street,Савёловский проезд
addr:housenumber,8 с1
addr:housenumber,14 с4
addr:street,Краснопресненская набережная
addr:street,улица Новая Башиловка
addr:street,Большая Набережная улица
addr:street,улица Свободы
addr:housenumber,8А
addr:street,Подмосковная улица
addr:street,Тушинская улица
addr:housenumber,11 кБ
addr:street,улица Россолимо
addr:postcode,119002
addr:street,Смоленская-Сенная площадь
addr:housenumber,5А с8
addr:postcode,127015
addr:street,Новодмитровская улица
addr:housenumber,3 с1
addr:housenumber,1 с40
addr:housenumber,1А с1
addr:housenumber,1 с16
addr:housenumber,1 с48
addr:housenumber,2Б
addr:street,Бутырская улица
addr:housenumber,1 с1
addr:housenumber,2/1 к1Б
addr:street,Кутузовский проспект
addr:housenumber,15-17 с2
addr:street,улица Сергия Радонежского
addr:housenumber,19-21
addr:street,1-й Смоленский переулок
addr:street,Серебряническая набережная
addr:housenumber,37 к2
addr:housenumber,3/1 к5
addr:street,Семёновская набережная
addr:housenumber,93 с2
addr:street,Таллинская улица
addr:housenumber,35 с49
addr:street,Кременчугская улица
addr:street,Инициативная улица
addr:street,улица Артамонова
addr:postcode,121357
addr:housenumber,24 с1
addr:housenumber,1 с2
addr:street,5-я Кабельная улица
addr:housenumber,5/1 с3
addr:postcode,109012
addr:housenumber,22 с2
addr:street,Шереметьевская улица
addr:street,Скобелевская улица
addr:housenumber,5 с9
addr:street,3-й Хорошёвский проезд
addr:housenumber,5 с3
addr:street,улица Барышиха
addr:housenumber,2/15 с1
addr:housenumber,42 к12
addr:postcode,109316
addr:housenumber,42 к5
addr:housenumber,24 к19
addr:street,Петровско-Разумовский проезд
addr:housenumber,24 к2
addr:street,2-я Квесисская улица
addr:housenumber,9 с12
addr:street,Товарищеский переулок
addr:street,Новомосковская улица
addr:street,Перекопская улица
addr:street,Керченская улица
addr:housenumber,84 с1
addr:postcode,119571
addr:street,переулок Хользунова
addr:street,Никитский бульвар
addr:street,Рижская площадь
addr:housenumber,1 с4
addr:housenumber,6 к1
addr:street,Солнцевский проспект
addr:street,9-я Парковая улица
addr:housenumber,36 с41
addr:postcode,121170
addr:street,Полярная улица
addr:housenumber,14 с9
addr:street,улица Шухова
addr:street,улица Скульптора Мухиной
addr:housenumber,14 к1 с1
addr:street,улица Богданова
addr:housenumber,40
addr:housenumber,15/17 с1
addr:street,улица Матросская Тишина
addr:housenumber,34/29
addr:street,Дубравная улица
addr:housenumber,27
addr:street,1-я Парковая улица
addr:housenumber,4А с1
addr:street,Первомайская улица
addr:housenumber,5А к1
addr:postcode,121087
addr:street,Береговой проезд
addr:housenumber,6/2 с2
addr:housenumber,1 с3
addr:housenumber,75
addr:housenumber,75 к1
addr:housenumber,77 с1
addr:housenumber,77 с2
addr:housenumber,108
addr:street,улица Милашенкова
addr:street,проезд Стратонавтов
addr:housenumber,147 к1 с2
addr:postcode,129347
addr:street,Палехская улица
addr:street,улица Радио
addr:housenumber,47
addr:street,Байкальская улица
addr:housenumber,18А
addr:street,Алтайская улица
addr:housenumber,105 с15
addr:postcode,109542
addr:street,Рязанский проспект
addr:housenumber,105 с12
addr:housenumber,21/34
addr:street,Баррикадная улица
addr:street,улица Охотный Ряд
addr:postcode,125445
addr:street,Смольная улица
addr:street,Новоорловская улица
addr:housenumber,5 с11
addr:street,улица Сущёвский Вал
addr:postcode,117418
addr:street,Новочерёмушкинская улица
addr:housenumber,67
addr:street,Погонный проезд
addr:street,Тишинская площадь
addr:housenumber,119 с40
addr:postcode,129223
addr:street,проезд Девичьего Поля
addr:housenumber,25 с1
addr:street,улица Большая Ордынка
addr:housenumber,95 к11
addr:quarter,Квартал 95
addr:street,Волжский бульвар
addr:housenumber,19-23
addr:postcode,123242
addr:street,Новинский бульвар
addr:street,улица Советской Армии
addr:street,Красноармейская улица
addr:housenumber,1/5
addr:housenumber,15А
addr:street,Неглинная улица
addr:housenumber,3/6
addr:housenumber2,6/3
addr:street,улица Рождественка
addr:street2,Пушечная улица
addr:housenumber,3 с4
addr:housenumber,6/2
addr:housenumber2,2/6
addr:housenumber,4 с2
addr:street,Пушечная улица
addr:housenumber2,2/6 с2
addr:housenumber,2 с3
addr:postcode,107078
addr:street,Докучаев переулок
addr:housenumber,18 к1
addr:street,улица Хлобыстова
addr:street,улица Васильцовский Стан
addr:housenumber,37 к2 с4
addr:postcode,125493
addr:street,Дубнинская улица
addr:street,улица Генерала Глаголева
addr:street,улица Маршала Василевского
addr:street,улица Маршала Конева
addr:street,улица Маршала Бирюзова
addr:street,"улица Мичуринский Проспект, Олимпийская Деревня"
addr:housenumber,22/2
addr:street,улица Поляны
addr:housenumber,39
addr:housenumber2,39/41
addr:postcode,119121
addr:street,улица Плющиха
addr:housenumber,11 с2
addr:housenumber,6 с5
addr:street,Олсуфьевский переулок
addr:housenumber,13 с3
addr:housenumber,13 с2
addr:housenumber,43 с1Б
addr:postcode,108850
addr:street,бульвар Андрея Тарковского
addr:housenumber,2А к4
addr:postcode,119618
addr:street,Боровское шоссе
addr:housenumber,2А к3
addr:housenumber,2А к1
addr:housenumber,9/7
addr:housenumber,11 к5
addr:street,Соловьиный проезд
addr:street,улица Айвазовского
addr:housenumber,80
addr:postcode,127273
addr:housenumber,80А
addr:housenumber,2 с4
addr:street,улица Планерная
addr:postcode,123592
addr:street,1-й Митинский переулок
addr:housenumber,27 с1
addr:housenumber,33
addr:street,Сходненская улица
addr:postcode,125363
addr:street,улица Фабрициуса
addr:street,1-й Красногорский проезд
addr:street,Азовская улица
addr:street,3-й Нижнелихоборский проезд
addr:housenumber,1 с6
addr:housenumber,65
addr:housenumber,3 с5
addr:street,Верхнелихоборская улица
addr:housenumber,58 с1
addr:housenumber,58 с31
addr:postcode,127486
addr:street,Кастанаевская улица
addr:street,Малая Юшуньская улица
addr:street,Нагорный бульвар
addr:housenumber,10 к2
addr:postcode,127543
addr:street,Авиамоторная улица
addr:street,Большая Дорогомиловская улица
addr:housenumber,вл133Г с1
addr:street,улица Марьинский Парк
addr:street,улица Каретный Ряд
addr:street,Наставнический переулок
addr:street,улица 800-летия Москвы
addr:housenumber,36
addr:housenumber,36 к1
addr:housenumber,18 с1
addr:street,1-й переулок Тружеников
addr:street,Абрикосовский переулок
addr:housenumber,11 с10
addr:housenumber,128
addr:street,Люблинская улица
addr:housenumber,126
addr:street,Полевая улица
addr:housenumber,165 к1
addr:street,Тихорецкий бульвар
